system_id,year,date,centroid_lat,centroid_lon
m_3712201_nw_10_060_20180802_20190210,2018,2018-08-02T00:00:00,37.968767799376074,-122.96874692497829
m_3712217_nw_10_060_20180802_20190210,2018,2018-08-02T00:00:00,37.718761291608935,-122.96875015530432
m_3712308_ne_10_060_20180802_20190209,2018,2018-08-02T00:00:00,37.96876778546743,-123.03125080735478
m_3712316_sw_10_060_20180802_20190209,2018,2018-08-02T00:00:00,37.78127402577961,-123.09375584611877
m_3712324_ne_10_060_20180802_20190210,2018,2018-08-02T00:00:00,37.718761278066765,-123.03128505399863
m_3812201_nw_10_060_20180718_20190209,2018,2018-07-18T00:00:00,38.96877085072265,-122.96872785378713
m_3812201_sw_10_060_20180718_20190209,2018,2018-07-18T00:00:00,38.906267406113415,-122.96875527497998
m_3812209_nw_10_060_20180718_20190210,2018,2018-07-18T00:00:00,38.84376329610127,-122.96875151370129
m_3812209_sw_10_060_20180725_20190210,2018,2018-07-25T00:00:00,38.78128282560219,-122.96874775057204
m_3812217_nw_10_060_20180725_20190209,2018,2018-07-25T00:00:00,38.71877737000559,-122.9687335477428
m_3812217_sw_10_060_20180725_20190209,2018,2018-07-25T00:00:00,38.65627122749399,-122.96872972045448
m_3812225_nw_10_060_20180725_20190209,2018,2018-07-25T00:00:00,38.593764421782765,-122.96875687177076
m_3812225_sw_10_060_20180725_20190209,2018,2018-07-25T00:00:00,38.53125694600028,-122.96875294071175
m_3812233_nw_10_060_20180725_20190210,2018,2018-07-25T00:00:00,38.46874881774938,-122.96873866722962
m_3812233_sw_10_060_20180725_20190210,2018,2018-07-25T00:00:00,38.40626973815106,-122.9687346519626
m_3812241_nw_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.34378459015607,-122.96876156486921
m_3812241_sw_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.28127447674103,-122.96875745796972
m_3812249_nw_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.21876361954441,-122.96874309842808
m_3812249_sw_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.156252163926055,-122.96873896915739
m_3812257_nw_10_060_20180802_20190210,2018,2018-08-02T00:00:00,38.09376976394741,-122.96873480556705
m_3812257_sw_10_060_20180802_20190210,2018,2018-08-02T00:00:00,38.03128128395752,-122.96876138602006
m_3812303_ne_10_060_20180802_20190210,2018,2018-08-02T00:00:00,38.96876801653217,-123.65627809291318
m_3812303_nw_10_060_20180804_20190209,2018,2018-08-04T00:00:00,38.9687782561141,-123.71877767194053
m_3812303_se_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.906265392377726,-123.65628350315812
m_3812303_sw_10_060_20180804_20190209,2018,2018-08-04T00:00:00,38.90627589826589,-123.71876975508117
m_3812304_ne_10_060_20180712_20190209,2018,2018-07-12T00:00:00,38.96874989788882,-123.53125774071145
m_3812304_nw_10_060_20180911_20190209,2018,2018-09-11T00:00:00,38.96874867879386,-123.59376790359089
m_3812304_se_10_060_20180802_20190209,2018,2018-08-02T00:00:00,38.90624693475659,-123.53127597330267
m_3812304_sw_10_060_20180911_20190209,2018,2018-09-11T00:00:00,38.90624591562323,-123.59376931626657
m_3812305_ne_10_060_20180712_20190209,2018,2018-07-12T00:00:00,38.968743651328474,-123.40628545989746
m_4612201_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.96875441930383,-122.96873268579296
